"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0A560","2020-04-10 00:00:00","405.000","-99.000","-99.000","-99.000","-99.000","-99.000","","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0D480","2020-04-10 00:00:00","223.000","0.000","0.000","15.700","0.880","991.600","","0.000","-99.000","-99.000","-99.000","23.100","","15.700",""
"C0X170","2020-04-10 00:00:00","50.000","54.000","0.600","19.900","0.930","1011.600","","0.000","-99.000","-99.000","-99.000","28.700","","18.500",""
"C0AH30","2020-04-10 00:00:00","755.000","108.000","3.100","15.000","1.000","934.700","","2.000","-99.000","-99.000","-99.000","16.900","","12.700",""
"C0R130","2020-04-10 00:00:00","1040.000","102.000","2.200","16.400","0.800","901.100","","0.000","-99.000","-99.000","-99.000","23.900","","16.200",""
"C0M790","2020-04-10 00:00:00","15.000","37.000","0.800","19.700","0.800","1014.700","","0.000","-99.000","-99.000","-99.000","26.500","","18.200",""
"C0C590","2020-04-10 00:00:00","72.000","57.000","1.900","18.700","0.720","1009.700","","0.000","-99.000","-99.000","-99.000","22.900","","17.500",""
"C0G780","2020-04-10 00:00:00","27.000","6.000","0.500","19.600","0.780","1014.300","","0.000","-99.000","-99.000","-99.000","26.400","","18.900",""
"C0V660","2020-04-10 00:00:00","25.000","32.000","1.000","20.900","0.860","1015.200","","0.000","-99.000","-99.000","-99.000","28.300","","19.200",""
"C0F9R0","2020-04-10 00:00:00","20.000","0.000","0.200","19.000","1.000","1016.200","","0.000","-99.000","-99.000","-99.000","25.400","","18.700",""
"C0W130","2020-04-10 00:00:00","18.000","14.000","4.700","20.600","0.830","1015.100","","0.000","11.800","15.000","","21.800","","19.300",""
"C0C700","2020-04-10 00:00:00","151.000","95.000","4.800","18.800","0.680","1001.400","","0.000","10.600","90.000","","22.200","","17.000",""
"C0R100","2020-04-10 00:00:00","1006.000","-99.000","-99.000","-99.000","-99.000","-99.000","","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0X120","2020-04-10 00:00:00","28.000","353.000","1.100","20.200","0.890","1015.800","","0.000","-99.000","-99.000","-99.000","27.300","","18.600",""
"C0R670","2020-04-10 00:00:00","26.000","79.000","5.300","23.400","0.560","1015.800","","0.000","10.400","88.000","","26.700","","20.500",""
"C0W110","2020-04-10 00:00:00","16.000","15.000","6.700","15.100","0.920","1020.400","","0.000","-99.000","-99.000","-99.000","17.500","","14.700",""
"CM0130","2020-04-10 00:00:00","11.000","29.000","1.800","20.900","0.760","1017.300","","0.000","-99.000","-99.000","-99.000","22.900","","20.000",""
"C0AC70","2020-04-10 00:00:00","71.000","80.000","1.200","18.200","0.780","1011.800","","0.500","-99.000","-99.000","-99.000","22.900","","17.300",""
"CM0100","2020-04-10 00:00:00","25.000","107.000","0.500","18.500","0.700","1015.400","","0.000","-99.000","-99.000","-99.000","23.900","","18.500",""
"C0X050","2020-04-10 00:00:00","25.000","0.000","0.000","18.900","0.990","1013.800","","0.000","-99.000","-99.000","-99.000","28.000","","17.600",""
"C0K580","2020-04-10 00:00:00","26.000","0.000","0.000","18.800","0.990","1016.000","","0.000","-99.000","-99.000","-99.000","26.600","","17.900",""
